Numero,Nimi,Valmistaja,Pullokoko,Hinta,Litrahinta,Uutuus,Hinnastojärjestyskoodi,Tyyppi,Alatyyppi,Erityisryhmä,Oluttyyppi,Valmistusmaa,Alue,Vuosikerta,Etikettimerkintöjä,Huomautus,Rypäleet,Luonnehdinta,Pakkaustyyppi,Suljentatyyppi,Alkoholi-%,"Hapot g/l","Sokeri g/l",Kantavierrep-%,"Väri EBC","Katkerot EBU","Energia kcal/100 ml",Valikoima,EAN
900138,"Gosa Organic Monastrell 2021 hanapakkaus","Juan Gil","3 l",33.89,11.3,,110,punaviinit,"Mehevä & Hilloinen",,,Espanja,Levante,2021,"Vino de la Tierra de Murcia","Vegaaneille soveltuva tuote","Monastrell, ","Runsaanpunainen, keskitäyteläinen, keskitanniininen, herukkainen, tumman kirsikkainen, kevyen lakritsijuurinen, hennon eukalyptuksinen",hanapakkaus,hana,14.0,4.9,2,,,,80.0,vakiovalikoima,8437005068452
480848,"Icono Selección Especial hanapakkaus",Anecoop,"2 l",22.99,11.5,,110,punaviinit,"Mehevä & Hilloinen",,,Espanja,Levante,,"DO Valencia",,"Cabernet Sauvignon, Tempranillo, Syrah, ","Runsaanpunainen, keskitäyteläinen, keskitanniininen, herukkainen, tumman kirsikkainen, mausteinen, kevyen kaakaoinen",hanapakkaus,hana,13.5,5.6,4,,,,80.0,vakiovalikoima,8412276793449
492788,"Petó Organic 2021 hanapakkaus","Hartwall Oy","3 l",32.49,10.83,,110,punaviinit,"Pehmeä & Hedelmäinen",,,Espanja,Levante,2021,"DO Utiel-Requena","Vegaaneille soveltuva tuote","Shiraz, Tempranillo, ","Tummanpunainen, keskitäyteläinen, keskitanniininen, karhunvatukkainen, tumman luumuinen, kirsikkainen, mustikkainen, mausteinen, kevyen paahteinen",hanapakkaus,hana,13.0,4.0,11,,,,80.0,vakiovalikoima,6430036549176
930343,"Barahonda Carro Organic Monastrell hanapakkaus","Señorio de Barahonda","3 l",37.49,12.5,,110,punaviinit,"Mehevä & Hilloinen",,,Espanja,Muut,,"DO Yecla","Vegaaneille soveltuva tuote","Monastrell, ","Tummanpunainen, täyteläinen, keskitanniininen, karhunvatukkainen, kirsikkainen, mausteinen",hanapakkaus,hana,13.5,5.2,5,,,,80.0,tilausvalikoima,8437015640556
931938,"Castillo de Gredos Blanco hanapakkaus","J. García Carrión","3 l",29.49,9.83,,130,valkoviinit,"Pirteä & Hedelmäinen",,,Espanja,Muut,,,,,"Vaaleankeltainen, kuiva, keskihapokas, hedelmäinen, hunajameloninen, yrttinen",hanapakkaus,hana,12.0,5.4,4,,,,70.0,tilausvalikoima,8410415015018
939322,"Crazy Cat Kitten Rosé Organic 2023 hanapakkaus",Vinimundi,"3 l",32.98,10.99,,H10,hanapakkaukset,,,,Espanja,Muut,2023,,"Vegaaneille soveltuva tuote","Garnacha, Tempranillo, ","Oranssinpunainen, kuiva, hapokas, vadelmainen, mansikkainen, persikkainen, sitruksinen",hanapakkaus,hana,11.5,4.7,7,,,,70.0,vakiovalikoima,7350005882532
949278,"El Tiempo Blanco hanapakkaus",Altia,"2 l",21.98,10.99,,130,valkoviinit,Valkoviinit,,,Espanja,Muut,,"Vino Blanco de España",,"Airén, Macabeo, Verdejo, ","Vaaleankeltainen, puolimakea, keskihapokas, persikkainen, ananaksinen, kevyen sitruksinen, hennon kukkainen",hanapakkaus,hana,10.5,4.8,25,,,,70.0,vakiovalikoima,6412700467900
430558,"Faustino Garnacha 2022 hanapakkaus","Bodegas Valcarlos","3 l",39.98,13.33,,110,punaviinit,"Mehevä & Hilloinen",,,Espanja,Muut,2022,,,"Garnacha, ","Runsaanpunainen, keskitäyteläinen, keskitanniininen, metsämarjainen, herukkainen, tumman kirsikkainen, kaakaoinen, mausteinen",hanapakkaus,hana,13.5,4.6,12,,,,80.0,vakiovalikoima,8437001839636
917408,"Faustino Tempranillo hanapakkaus","Bodegas Valcarlos","3 l",45.49,15.16,,110,punaviinit,"Vivahteikas & Kehittynyt",,,Espanja,Muut,,,,"Tempranillo, ","Runsaanpunainen, keskitäyteläinen, tanniininen, hapankirsikkainen, herukkainen, nahkainen, kevyen havuinen, mausteinen",hanapakkaus,hana,13.0,5.2,2,,,,70.0,vakiovalikoima,8437001839070
944694,"Il Barone Vino Blanco Organico 2023 hanapakkaus",Vinimundi,"3 l",32.98,10.99,,130,valkoviinit,"Pirteä & Hedelmäinen",Luomu,,Espanja,Muut,2023,,,"Macabeo, ","Keltainen, kuiva, keskihapokas, kypsän sitruksinen, päärynäinen, persikkainen, mausteinen",hanapakkaus,hana,11.5,4.5,6,,,,70.0,vakiovalikoima,3332750008065
